iter	Passed	Remaining
0	64	64072
1	70	35034
2	76	25558
3	82	20658
4	87	17491
5	95	15800
6	101	14429
7	109	13535
8	113	12550
9	120	11905
10	126	11347
11	130	10770
12	136	10339
13	140	9919
14	145	9531
15	149	9221
16	154	8935
17	162	8880
18	167	8668
19	173	8522
20	179	8371
21	185	8236
22	193	8204
23	198	8085
24	204	7956
25	211	7910
26	217	7824
27	224	7809
28	231	7740
29	235	7616
30	242	7572
31	248	7503
32	253	7414
33	259	7361
34	264	7289
35	269	7206
36	273	7125
37	279	7081
38	284	7002
39	290	6973
40	295	6915
41	300	6853
42	306	6816
43	311	6767
44	316	6713
45	322	6698
46	327	6641
47	332	6597
48	338	6569
49	344	6549
50	349	6505
51	356	6493
52	360	6442
53	365	6396
54	369	6356
55	375	6327
56	380	6293
57	385	6255
58	391	6236
59	395	6199
60	400	6160
61	404	6116
62	408	6072
63	413	6041
64	418	6027
65	422	5985
66	427	5958
67	432	5932
68	437	5900
69	442	5873
70	446	5840
71	451	5825
72	456	5798
73	461	5771
74	466	5759
75	471	5728
76	475	5699
77	480	5676
78	484	5652
79	489	5627
80	493	5598
81	499	5590
82	503	5566
83	508	5545
84	513	5523
85	518	5505
86	523	5489
87	527	5465
88	531	5441
89	535	5415
90	539	5392
91	544	5372
92	550	5365
93	554	5347
94	559	5325
95	565	5324
96	570	5311
97	575	5294
98	581	5296
99	588	5292
100	596	5308
101	602	5300
102	606	5285
103	614	5295
104	621	5298
105	628	5300
106	633	5289
107	641	5298
108	647	5295
109	654	5298
110	660	5288
111	664	5269
112	671	5270
113	679	5281
114	686	5284
115	694	5295
116	700	5287
117	709	5304
118	715	5294
119	721	5292
120	729	5297
121	736	5298
122	743	5303
123	748	5290
124	755	5287
125	762	5288
126	769	5291
127	777	5295
128	783	5289
129	789	5286
130	794	5268
131	800	5261
132	807	5262
133	812	5251
134	819	5252
135	826	5249
136	832	5242
137	837	5231
138	844	5228
139	849	5218
140	855	5211
141	860	5202
142	867	5198
143	873	5194
144	880	5191
145	888	5197
146	894	5188
147	900	5182
148	906	5179
149	912	5171
150	919	5169
151	924	5157
152	930	5153
153	938	5156
154	943	5145
155	949	5137
156	957	5138
157	962	5131
158	970	5131
159	975	5121
160	981	5113
161	987	5109
162	993	5102
163	1000	5102
164	1006	5093
165	1012	5089
166	1020	5092
167	1028	5091
168	1036	5094
169	1043	5093
170	1049	5086
171	1054	5075
172	1061	5074
173	1070	5082
174	1076	5075
175	1086	5088
176	1095	5094
177	1110	5129
178	1124	5155
179	1131	5154
180	1141	5162
181	1150	5172
182	1159	5175
183	1167	5178
184	1174	5174
185	1182	5174
186	1190	5173
187	1196	5167
188	1202	5159
189	1210	5160
190	1217	5154
191	1223	5148
192	1231	5149
193	1237	5142
194	1243	5135
195	1248	5122
196	1254	5115
197	1262	5112
198	1266	5098
199	1271	5087
200	1278	5083
201	1284	5073
202	1289	5061
203	1293	5047
204	1298	5035
205	1304	5026
206	1310	5019
207	1316	5013
208	1323	5007
209	1328	4996
210	1334	4989
211	1339	4978
212	1345	4971
213	1350	4960
214	1356	4954
215	1361	4941
216	1367	4932
217	1373	4926
218	1378	4914
219	1383	4905
220	1390	4899
221	1395	4889
222	1400	4879
223	1408	4878
224	1415	4876
225	1421	4867
226	1426	4858
227	1438	4871
228	1445	4868
229	1452	4862
230	1458	4856
231	1466	4853
232	1474	4852
233	1481	4850
234	1489	4848
235	1495	4840
236	1501	4833
237	1506	4824
238	1512	4816
239	1518	4809
240	1524	4800
241	1529	4792
242	1536	4786
243	1542	4780
244	1548	4771
245	1552	4759
246	1557	4747
247	1561	4736
248	1567	4727
249	1572	4716
250	1577	4706
251	1582	4696
252	1586	4685
253	1592	4677
254	1597	4665
255	1602	4657
256	1607	4646
257	1611	4634
258	1617	4628
